x,y
12.784431,9.8158751
13.699231,10.851546
12.516602,10.811008
8.5992451,10.551661
11.33364,11.012265
14.530484,10.833145
17.621061,10.872942
15.031735,10.717716
12.668604,10.66409
11.690651,10.970777
12.778522,11.294847
12.484627,10.381552
9.2622614,11.008896
13.539036,10.417534
10.886618,10.897948
16.816647,10.979987
8.4485245,10.567562
10.512383,10.701105
9.5539379,10.568735
11.388137,10.447973
13.458632,10.811337
9.8771982,11.010121
13.117536,10.940722
12.835796,10.940765
10.86534,10.439321
